"","Mun_Code","rain_total","wind_max","track_min_dist","blue_ss_frac","blue_ls_frac","red_ls_frac","orange_ls_frac","yellow_ss_frac","red_ss_frac","orange_ss_frac","yellow_ls_frac","roof_strong_wall_strong","roof_strong_wall_light","roof_strong_wall_salv","roof_light_wall_strong","roof_light_wall_light","roof_light_wall_salv","roof_salv_wall_strong","roof_salv_wall_light","roof_salv_wall_salv","Municipality","region","island_groups","wind_blue_ss","wind_yellow_ss","wind_orange_ss","wind_red_ss","rain_blue_ls","rain_yellow_ls","rain_orange_ls","rain_red_ls","Cluster"
"22","PH063002000",287.239285714286,51.2559064897042,1.07521135694684,0,0.53,0.53,0,0,0,0,0,41.2808737743577,55.2687104381283,0.0496462703239419,0.0248231351619709,2.2216705969964,0,0.0124115675809854,0.0372347027429564,0.0248231351619709,"Alimodian","Western Visayas","Visayas",0,0,0,0,152.236821428572,0,0,152.236821428572,1
"23","PH041002000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,84.771074867361,9.90371389270976,0.31440361564158,0.255452937708784,4.26409903713893,0.0393004519551974,0,0.0393004519551974,0.117901355865592,"Alitagtag","CALABARZON","Luzon",0,0,0,0,0,0,0,0,5
"24","PH084801000",287.239285714286,51.2559064897042,1.07521135694684,1.57,1.99,0,0,1.99,1.57,0,0,42.0279339742427,6.89279883910756,0.126972610194087,7.69091238889896,42.2274623616905,0.326500997641937,0.0725557772537638,0.126972610194087,0.344639941955378,"Allen","Eastern Visayas","Visayas",80.4717731888356,101.999253914511,0,80.4717731888356,571.606178571429,0,0,0,3
"25","PH086001000",287.239285714286,51.2559064897042,1.07521135694684,0,2.26,2.01,0.23,0,0,0,0,45.9149546106068,6.54562828475872,1.81557572861921,6.49784997611085,35.3559483994267,1.52890587673196,0.812231247013856,0.191113234591495,0.573339703774486,"Almagro","Eastern Visayas","Visayas",0,0,0,0,649.160785714286,0,66.0650357142858,577.350964285715,4
"26","PH087801000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,54.8562933597621,36.6204162537166,0.396432111000991,0.396432111000991,7.21010901883053,0.0991080277502477,0.0991080277502477,0.12388503468781,0.0991080277502477,"Almeria","Eastern Visayas","Visayas",0,0,0,0,0,0,0,0,1
"27","PH072204000",287.239285714286,51.2559064897042,1.07521135694684,0.05,0.1,0.1,0,0,0,0,0.05,51.0601219866396,40.0668022073773,0.53732210281731,0.1161777519605,6.78187627069416,0.246877722916061,0,0.0871333139703746,0.71158873075806,"Aloguinsan","Central Visayas","Visayas",2.56279532448521,0,0,0,28.7239285714286,14.3619642857143,0,28.7239285714286,1
"28","PH060401000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,44.7226890756302,29.9327731092437,0.554621848739496,2.53781512605042,20.9579831932773,0.218487394957983,0.0168067226890756,0.0672268907563025,0.756302521008403,"Altavas","Western Visayas","Visayas",0,0,0,0,0,0,0,0,1
"29","PH042102000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,89.9783129779706,7.55621504394476,0.456568884830499,0.114142221207625,1.01586576874786,0.0342426663622874,0.0114142221207624,0.114142221207625,0.148384887569912,"Amadeo","CALABARZON","Luzon",0,0,0,0,0,0,0,0,5
"30","PH025001000",287.239285714286,51.2559064897042,1.07521135694684,0.19,4.27,4.17,0.1,0,0,0,0.19,7.60961810466761,72.1923620933522,0.0282885431400282,0.0282885431400282,19.8868458274399,0.0282885431400282,0,0.198019801980198,0,"Ambaguio","Cagayan Valley","Luzon",9.7386222330438,0,0,0,1226.51175,54.5754642857143,28.7239285714286,1197.78782142857,3
"31","PH086401000",287.239285714286,51.2559064897042,1.07521135694684,0,5.15,0.14,0,5.01,0,0,0,61.6213151927438,21.0884353741497,1.47392290249433,0.90702947845805,12.0748299319728,0.623582766439909,0.736961451247165,0.680272108843537,0.793650793650794,"Anahawan","Eastern Visayas","Visayas",0,256.792091513418,0,0,1479.28232142857,0,0,40.2135,4
"32","PH036901000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,83.3147113594041,12.8864059590317,0.0372439478584729,0.0744878957169459,3.05400372439479,0,0,0.0372439478584729,0,"Anao","Central Luzon","Luzon",0,0,0,0,0,0,0,0,5
"33","PH015505000",287.239285714286,51.2559064897042,1.07521135694684,6.6,3.48,0,0,3.48,6.6,0,0,58.0624396523978,35.0713442763652,0.375496191395773,0.171655401780925,5.24621821692951,0.171655401780925,0,0.0965561635017702,0.203840789614848,"Anda","Ilocos Region","Luzon",338.288982832048,178.370554584171,0,338.288982832048,999.592714285715,0,0,0,3
"34","PH031401000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,88.0349040139616,8.80977312390925,0.237347294938918,0.195462478184991,2.06631762652705,0.0069808027923211,0.0139616055846422,0.0698080279232111,0.160558464223386,"Angat","Central Luzon","Luzon",0,0,0,0,0,0,0,0,5
"35","PH035401000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,95.0288382312552,3.59579997042233,0.021126909344432,0.110916274058268,0.82500580990007,0.0063380728033296,0.0179578729427672,0.05281727336108,0.194367565968774,"","Central Luzon","Luzon",0,0,0,0,0,0,0,0,5
"36","PH045801000",287.239285714286,51.2559064897042,1.07521135694684,0,0.1,0.1,0,0,0,0,0,85.6064863129164,12.3304166332183,1.17203178935538,0.0280966524845468,0.188648952396243,0,0.0080276149955848,0.0441518824757164,0.0762623424580557,"Angono","CALABARZON","Luzon",0,0,0,0,28.7239285714286,0,0,28.7239285714286,5
"37","PH063003000",287.239285714286,51.2559064897042,1.07521135694684,0,0.34,0.34,0,0,0,0,0,41.0047626363497,51.6822860654478,0.26117683207866,0.0921800583807036,6.3450606852051,0.076816715317253,0.0153633430634506,0.0614533722538024,0.107543401444154,"Anilao","Western Visayas","Visayas",0,0,0,0,97.6613571428572,0,0,97.6613571428572,1
"38","PH060601000",287.239285714286,51.2559064897042,1.07521135694684,0,1.42,0,0,1.42,0,0,0,37.714161787031,31.3381045326393,0.0433745391455215,2.25547603556712,28.3669486011711,0.130123617436565,0,0.0216872695727607,0.108436347863804,"Anini-Y","Western Visayas","Visayas",0,72.78338721538,0,0,407.879785714286,0,0,0,1
"39","PH035402000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,95.4782684969957,2.94723915617736,0.0350861804306828,0.280689443445463,1.08767159335117,0.013157317661506,0.0175430902153414,0.013157317661506,0.0263146353230121,"Apalit","Central Luzon","Luzon",0,0,0,0,0,0,0,0,5
"40","PH035403000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,88.5903838442751,5.64283891663325,0.0911311194546713,1.39248350526738,3.67805198119054,0.0145809791127474,0.0656144060073633,0.26610286880764,0.156745525462035,"Arayat","Central Luzon","Luzon",0,0,0,0,0,0,0,0,5
"41","PH013302000",287.239285714286,51.2559064897042,1.07521135694684,0.02,0.07,0.02,0,0.05,0,0,0.02,73.9007626400527,23.3217211185387,0.376612371716411,0.122399020807834,1.43112701252236,0.0282459278787308,0.0188306185858205,0.0753224743432821,0.291874588080218,"Aringay","Ilocos Region","Luzon",1.02511812979408,2.56279532448521,0,0,20.10675,5.74478571428572,0,5.74478571428572,5
"42","PH025002000",287.239285714286,51.2559064897042,1.07521135694684,0.05,0.48,0.46,0.01,0,0,0,0.05,68.8271968003764,24.0559934125397,0.0705799317727326,0.388189624750029,5.45818139042466,0.0352899658863663,0,0.0117633219621221,0,"Aritao","Cagayan Valley","Luzon",2.56279532448521,0,0,0,137.874857142857,14.3619642857143,2.87239285714286,132.130071428572,5
"43","PH054101000",287.239285714286,51.2559064897042,1.07521135694684,3.37,3.1,0.27,0.02,2.8,3.37,0,0,38.6994541933212,21.3451493632255,0.0762955572510123,2.15388227008627,36.9681319326252,0.064557779212395,0,0.0939022243089383,0.0234755560772345,"Aroroy","Bicol Region","Luzon",172.732404870303,143.516538171172,0,172.732404870303,890.441785714287,0,5.74478571428572,77.5546071428572,3
"44","PH082601000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,23.6119061247853,18.8895248998283,0.028620492272467,2.0034344590727,53.1196336576989,0.48654836863194,0.028620492272467,0.20034344590727,1.31654264453349,"Arteche","Eastern Visayas","Visayas",0,0,0,0,0,0,0,0,1
"45","PH015506000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,82.5321494182486,12.4311083894672,0.114819350887936,0.443968156766687,3.8426209430496,0.0153092467850581,0,0.0153092467850581,0.0612369871402327,"Asingan","Ilocos Region","Luzon",0,0,0,0,0,0,0,0,5
"46","PH142711000",287.239285714286,51.2559064897042,1.07521135694684,0,0.4,0.4,0,0,0,0,0,27.9250618593142,64.757864969954,0,0.0353481795687522,6.85754683633793,0,0,0,0,"Asipulo","Cordillera Administrative Region","Luzon",0,0,0,0,114.895714285714,0,0,114.895714285714,1
"47","PH072206000",287.239285714286,51.2559064897042,1.07521135694684,0.03,0.24,0.18,0.05,0,0,0,0.03,44.7556556654588,37.8709235138576,0.284007442953677,0.910782489472138,15.1209479972579,0.195867202037019,0.0489668005092547,0.0783468808148075,0.244834002546274,"Asturias","Central Visayas","Visayas",1.53767719469113,0,0,0,68.9374285714286,8.61717857142858,14.3619642857143,51.7030714285715,1
"48","PH045603000",287.239285714286,51.2559064897042,1.07521135694684,3.48,2.98,0.37,0,2.61,3.48,0,0,68.8462071834697,16.87699348218,0.44376646789627,1.24809319095826,11.537928165303,0.284287893496048,0.0554708084870337,0.152544723339343,0.159478574400222,"Atimonan","CALABARZON","Luzon",178.370554584171,133.777915938128,0,178.370554584171,855.973071428572,0,0,106.278535714286,3
"49","PH141101000",287.239285714286,51.2559064897042,1.07521135694684,0.01,3.23,3.2,0.03,0,0,0,0.01,94.1135734072022,5.30932594644506,0.0692520775623268,0.0461680517082179,0.392428439519852,0,0,0,0,"Atok","Cordillera Administrative Region","Luzon",0.512559064897042,0,0,0,927.782892857144,2.87239285714286,8.61717857142858,919.165714285715,5
"50","PH051701000",287.239285714286,51.2559064897042,1.07521135694684,0.05,0,0,0,0,0,0,0.05,61.6154521510097,12.5021949078139,0.184372256365233,3.10798946444249,21.8525021949078,0.166812993854258,0.0175592625109745,0.0526777875329236,0.210711150131694,"Baao","Bicol Region","Luzon",2.56279532448521,0,0,0,0,14.3619642857143,0,0,5
"51","PH083705000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,36.9604762692244,30.0148834132628,2.26558624111129,2.05060360509344,21.3659665950058,1.5544898296676,0.231519761865388,0.909541921614024,4.33272697205226,"Babatngon","Eastern Visayas","Visayas",0,0,0,0,0,0,0,0,4
"52","PH050501000",287.239285714286,51.2559064897042,1.07521135694684,0,0.61,0,0,0.61,0,0,0,55.1435740172846,5.66629495400056,0.0278784499581823,13.6395316420407,25.4251463618623,0.0696961248954558,0,0.0069696124895455,0.0069696124895455,"Bacacay","Bicol Region","Luzon",0,31.2661029587196,0,0,175.215964285714,0,0,0,3
"53","PH013303000",287.239285714286,51.2559064897042,1.07521135694684,8.35,2.46,0.06,0,2.4,8.29,0.04,0.01,82.1811803549319,15.4560462236896,0.226991333058192,0.103177878662815,1.78497730086669,0,0,0,0,"Bacnotan","Ilocos Region","Luzon",427.98681918903,123.01417557529,2.05023625958817,424.911464799648,706.608642857144,2.87239285714286,0,17.2343571428572,5
"54","PH175201000",287.239285714286,51.2559064897042,1.07521135694684,7.27,2.58,2.04,0.02,0.52,7.21,0.02,0.04,58.1838021338506,12.9122211445199,0.07274490785645,2.98254122211445,24.7090203685742,0.07274490785645,0.0484966052376333,0.181862269641125,0.21823472356935,"Baco","MIMAROPA Region","Luzon",372.63044018015,26.6530713746462,1.02511812979408,369.555085790767,741.077357142858,11.4895714285714,5.74478571428572,585.968142857143,3
"55","PH035404000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,91.776,4.928,0.0746666666666666,0.298666666666667,2.24,0,0.0213333333333333,0.064,0.330666666666667,"Bacolor","Central Luzon","Luzon",0,0,0,0,0,0,0,0,5
"56","PH042103000",287.239285714286,51.2559064897042,1.07521135694684,0.31,1.27,0,0,1.27,0.29,0.02,0,83.4783389884387,13.7367231716503,0.112641406428162,0.131299798903992,1.52791502829856,0.0131299798903992,0.0704872604642484,0.154104500818896,0.187274976331484,"","CALABARZON","Luzon",15.8893310118083,65.0950012419243,1.02511812979408,14.8642128820142,364.793892857143,0,0,0,5
"57","PH063004000",287.239285714286,51.2559064897042,1.07521135694684,0,0.07,0.07,0,0,0,0,0,41.8339571282749,52.9772031303164,0.102075535896563,0.136100714528751,4.72949982987411,0,0,0.0510377679482817,0.0170125893160939,"Badiangan","Western Visayas","Visayas",0,0,0,0,20.10675,0,0,20.10675,1
"58","PH025003000",287.239285714286,51.2559064897042,1.07521135694684,0.02,0,0,0,0,0,0,0.02,81.35902405655,13.5446357313875,0.273629004674495,0.17101812792156,4.15003990422985,0.0228024170562079,0,0.0570060426405198,0.0228024170562079,"Bagabag","Cagayan Valley","Luzon",1.02511812979408,0,0,0,0,5.74478571428572,0,0,5
"59","PH030802000",287.239285714286,51.2559064897042,1.07521135694684,0.8,2.19,0.04,0.03,2.14,0.75,0,0.05,85.436085219707,8.55525965379494,0.0166444740346205,0.466045272969374,5.40945406125166,0,0,0,0,"Bagac","Central Luzon","Luzon",41.0047251917634,109.687639887967,0,38.4419298672781,629.054035714286,14.3619642857143,8.61717857142858,11.4895714285714,5
"60","PH052001000",287.239285714286,51.2559064897042,1.07521135694684,5.86,4.26,1.42,0,2.84,5.86,0,0,42.2757475083056,7.55813953488372,0.0415282392026578,7.51661129568106,40.6976744186046,0.166112956810631,0.0415282392026578,0.622923588039867,0.290697674418605,"Bagamanoc","Bicol Region","Luzon",300.359612029667,145.56677443076,0,300.359612029667,1223.63935714286,0,0,407.879785714286,3
"61","PH141102000",287.239285714286,51.2559064897042,1.07521135694684,0.09,0.2,0.19,0.01,0,0,0,0.09,94.8912015137181,4.8215568043223,0.0581322451584958,0.0068390876657053,0.0307758944956742,0.0022796958885684,0.0091187835542738,0.0125383273871265,0.0661111807684854,"","Cordillera Administrative Region","Luzon",4.61303158407338,0,0,0,57.4478571428572,25.8515357142857,2.87239285714286,54.5754642857143,5
"62","PH013304000",287.239285714286,51.2559064897042,1.07521135694684,0.07,1.93,1.72,0.04,0.18,0,0,0.07,80.074173971679,18.509777478085,0,0.0337154416722859,0.337154416722859,0,0,0,0,"Bagulin","Ilocos Region","Luzon",3.58791345427929,9.22606316814676,0,0,554.371821428572,20.10675,11.4895714285714,494.051571428572,5
"63","PH141103000",287.239285714286,51.2559064897042,1.07521135694684,0.01,1.05,1.05,0,0,0,0,0.01,88.1685091126382,10.7260233044517,0.209142515685689,0,0.746937556020317,0.0298775022408126,0,0,0.0298775022408126,"Bakun","Cordillera Administrative Region","Luzon",0.512559064897042,0,0,0,301.60125,2.87239285714286,0,301.60125,5
"64","PH031402000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,92.6258359732488,5.50275724510149,0.0058664789393406,0.187727326058899,1.34929015604834,0.0058664789393406,0.0058664789393406,0.0351988736360436,0.058664789393406,"Balagtas","Central Luzon","Luzon",0,0,0,0,0,0,0,0,5
"65","PH072208000",287.239285714286,51.2559064897042,1.07521135694684,0.01,0.68,0.68,0,0,0,0,0.01,50.3908045977011,41.0472541507024,0.378033205619413,0.194125159642401,7.0242656449553,0.0561941251596423,0.0051085568326947,0.127713920817369,0.137931034482759,"Balamban","Central Visayas","Visayas",0.512559064897042,0,0,0,195.322714285714,2.87239285714286,0,195.322714285714,1
"66","PH082602000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,32.8144078144078,53.8766788766789,3.14407814407814,0.366300366300366,7.17338217338217,0.885225885225885,0.061050061050061,0.457875457875458,1.03785103785104,"Balangiga","Eastern Visayas","Visayas",0,0,0,0,0,0,0,0,4
"67","PH082603000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,42.2914911541702,53.5383319292334,0.46335299073294,0.04212299915754,3.24347093513058,0.08424599831508,0,0.08424599831508,0.04212299915754,"Balangkayan","Eastern Visayas","Visayas",0,0,0,0,0,0,0,0,1
"68","PH013305000",287.239285714286,51.2559064897042,1.07521135694684,0.85,0.13,0,0,0.13,0.83,0,0.02,80.9934460158675,16.2469817178337,0.356444751063585,0.103483959986202,1.31079682649189,0.0229964355524893,0,0,0.0459928711049787,"Balaoan","Ilocos Region","Luzon",43.5675205162486,6.66326784366155,0,42.5424023864545,37.3411071428572,5.74478571428572,0,0,5
"69","PH063005000",287.239285714286,51.2559064897042,1.07521135694684,0,0.05,0.05,0,0,0,0,0,43.0038352096994,20.3142397624644,1.16293455400223,1.17530619819374,31.0775702090808,0.767041939873809,0.0371149325745391,0.420635902511444,1.64542867747124,"Balasan","Western Visayas","Visayas",0,0,0,0,14.3619642857143,0,0,14.3619642857143,4
"70","PH051702000",287.239285714286,51.2559064897042,1.07521135694684,0.71,5.18,0,0,5.18,0.57,0,0.14,30.4085502499569,6.36097224616446,0.0689536286847095,20.2378900189622,41.5617996897087,0.275814514738838,0.0344768143423547,0.0344768143423547,0.0689536286847095,"Balatan","Bicol Region","Luzon",36.39169360769,265.505595616668,0,29.2158666991314,1487.8995,40.2135,0,0,3
"71","PH041003000",287.239285714286,51.2559064897042,1.07521135694684,10.1,1.32,0.01,0,1.31,10.07,0,0.03,89.3063583815029,5.97629078083668,0.171450965024003,0.45556970706378,3.34084451846772,0.0195943960027432,0.0097971980013716,0.132262173018517,0.142059371019888,"Balayan","CALABARZON","Luzon",517.684655546012,67.1452375015125,0,516.146978351321,379.155857142858,8.61717857142858,0,2.87239285714286,5
"72","PH054102000",287.239285714286,51.2559064897042,1.07521135694684,0.38,1.65,0,0,1.65,0.38,0,0,33.8513387006179,15.0346377082943,0.037446171129002,4.34375585096424,46.33963677214,0,0,0.056169256693503,0.018723085564501,"Baleno","Bicol Region","Luzon",19.4772444660876,84.5722457080119,0,19.4772444660876,473.944821428572,0,0,0,3
"73","PH037701000",287.239285714286,51.2559064897042,1.07521135694684,14.5,3.88,0.21,0,3.67,14.49,0.09,0,65.7077625570776,21.4954337899543,0.102739726027397,0.627853881278539,10.9817351598174,0.102739726027397,0.045662100456621,0.205479452054795,0.045662100456621,"Baler","Central Luzon","Luzon",743.210644100711,188.109176817214,4.61303158407338,742.698085035814,1114.48842857143,0,0,60.32025,3
"74","PH041004000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,87.3362445414847,8.05676855895197,0.458515283842795,0.262008733624454,2.44541484716157,0,0.0436681222707423,0.0436681222707423,1.24454148471616,"Balete","CALABARZON","Luzon",0,0,0,0,0,0,0,0,5
"75","PH060402000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,28.7353025523373,33.9546888442787,0.143389733295096,3.36965873243476,32.9509607112131,0.071694866647548,0.172067679954115,0.344135359908231,0.100372813306567,"Balete","Western Visayas","Visayas",0,0,0,0,0,0,0,0,1
"76","PH031403000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,94.2600315599639,4.66918394950406,0.0563570784490532,0.109896302975654,0.673467087466186,0,0.0056357078449053,0.0676284941388638,0.0394499549143372,"","Central Luzon","Luzon",0,0,0,0,0,0,0,0,5
"77","PH054103000",287.239285714286,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,38.7224276424837,20.6298610225679,0.178503123804667,1.82328190743338,35.6751243146755,0.229504016320286,0.153002677546857,1.51727655233967,0.663011602703047,"Balud","Bicol Region","Luzon",0,0,0,0,0,0,0,0,1
