"","Mun_Code","rain_total","rain_max6h","rain_max24h","wind_max","track_min_dist","ls_risk_pct","ss_risk_pct","blue_ss_frac","blue_ls_frac","red_ls_frac","orange_ls_frac","yellow_ss_frac","red_ss_frac","orange_ss_frac","yellow_ls_frac","slope_mean","elev_mean","ruggedness_sd","ruggedness_mean","slope_sd","poverty_pct","has_coast","coast_length","housing_units","roof_strong_wall_strong","roof_strong_wall_light","roof_strong_wall_salv","roof_light_wall_strong","roof_light_wall_light","roof_light_wall_salv","roof_salv_wall_strong","roof_salv_wall_light","roof_salv_wall_salv","vulnerable_groups","pantawid_benef","damage_perc","Mun_Code_2","Unnamed..0","Municipality","X10.Digit.Code","Correspondence.Code","Income.Class","Population.2020.Census.","region","island_groups","wind_blue_ss","wind_yellow_ss","wind_orange_ss","wind_red_ss","rain_blue_ls","rain_yellow_ls","rain_orange_ls","rain_red_ls"
"337","PH052005000",287.239285714286,12.6033333333333,4.2125,51.2559064897042,1.07521135694684,7.3,2.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,11.82,234.09,25.92,60.14,6.19,6.5,1,33,1744,80,2,2,2,2,2,2,2,10,2.72466539196941,30.3899082568807,NA,52005000,653,"Gigmoto",502005000,52005000,"5th",8712,"Bicol Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"338","PH082608000",287.239285714286,2.53,1.58875,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.64,127.14,22.41,33.64,5.01,8.4,1,38830,3209,80,2,2,2,2,2,2,2,10,3.78719567177638,32.7516360236834,NA,82608000,933,"Giporlos",802608000,82608000,"5th*",13117,"Eastern Visayas","Visayas",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"339","PH175206000",287.239285714286,13.6972222222222,7.83297872340426,51.2559064897042,1.07521135694684,1.4,2.13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.72,236.31,48.53,50.49,9.99,7.8,1,14478,10314,80,2,2,2,2,2,2,2,10,1.73718190490981,32.9261198371146,28.7861159588908,175206000,537,"Gloria",1705206000,175206000,"3rd",50496,"MIMAROPA Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"340","PH051715000",287.239285714286,7.08958333333333,4.71484375,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.93,243.19,40.56,30.01,7.77,6.37,0,0,12791,80,2,2,2,2,2,2,2,10,2.78005939217792,30.5136424048159,NA,51715000,628,"Goa",501715000,51715000,"2nd",71368,"Bicol Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"341","PH035407000",287.239285714286,9.49791666666667,7.22872340425532,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,14.56,2.98,5.01,0.48,1.94,0,0,24964,80,2,2,2,2,2,2,2,10,0.590990377246019,8.77263259093094,NA,35407000,344,"Guagua",305407000,35407000,"1st",128893,"Central Luzon","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"342","PH056208000",287.239285714286,15.1866666666667,7.08625,51.2559064897042,1.07521135694684,1.11,21.23,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.35,33.6,9.16,14.49,1.83,6.51,1,36948,13454,80,2,2,2,2,2,2,2,10,2.12483622803776,27.2112382934443,5.4630593132154,56208000,686,"Gubat",506208000,56208000,"2nd",60294,"Bicol Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"343","PH031408000",287.239285714286,19.8375,8.82127659574468,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.72,8.38,2.25,4.87,0.45,1.39,0,0,22769,80,2,2,2,2,2,2,2,10,0.297804070991677,5.94228995564144,NA,31408000,298,"Guiguinto",301408000,31408000,"1st",113415,"Central Luzon","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"344","PH034911000",287.239285714286,19.7261904761905,12.4410334346505,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.55,35.03,1.83,4.03,0.34,5.01,0,0,28325,80,2,2,2,2,2,2,2,10,1.37878724031857,20.0353045013239,NA,34911000,320,"Guimba",304911000,34911000,"1st",127653,"Central Luzon","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"345","PH063020000",287.239285714286,1.59090909090909,1.10159574468085,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.26,52.36,16.13,22.06,3.43,2.26,1,9669,7446,80,2,2,2,2,2,2,2,10,1.78296865759905,9.88450174590384,NA,63020000,763,"Guimbal",603020000,63020000,"4th",35022,"Western Visayas","Visayas",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"346","PH045618000",287.239285714286,21.3454545454545,10.2563829787234,51.2559064897042,1.07521135694684,2.09,1.69,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.12,101.19,19.9,26.45,4.38,7.41,1,36482,10189,80,2,2,2,2,2,2,2,10,1.68309157346916,31.1021690057906,NA,45618000,475,"Guinayangan",405618000,45618000,"3rd",44045,"CALABARZON","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"347","PH050504000",287.239285714286,11.0888888888889,8.36006944444444,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.03,222.71,22.89,31.37,4.97,6.46,0,0,17882,80,2,2,2,2,2,2,2,10,2.57281965979044,28.3022033329605,NA,50504000,590,"Guinobatan",500504000,50504000,"1st",85786,"Bicol Region","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"348","PH082609000",287.239285714286,1.7025641025641,0.697275641025641,51.2559064897042,1.07521135694684,1.67,13.16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.71,72.92,22.41,27.42,5.01,6.12,1,40156,12394,80,2,2,2,2,2,2,2,10,2.19282519673152,24.8023237050186,NA,82609000,934,"Guiuan",802609000,82609000,"2nd",53361,"Eastern Visayas","Visayas",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"349","PH045619000",287.239285714286,13.5107142857143,9.32705167173252,51.2559064897042,1.07521135694684,3.07,7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.19,72.66,17.89,32.96,4.13,3.33,1,33178,17334,80,2,2,2,2,2,2,2,10,1.28592119333487,13.9898465443637,NA,45619000,476,"Gumaca",405619000,45619000,"1st",71942,"CALABARZON","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"350","PH031409000",287.239285714286,19.1375,9.20904255319149,51.2559064897042,1.07521135694684,1.47,14.25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.71,4.38,3.04,5.48,0.46,2.52,1,22376,28773,80,2,2,2,2,2,2,2,10,0.900567765991048,11.0068466965558,NA,31409000,299,"Hagonoy",301409000,31409000,"1st",133448,"Central Luzon","Luzon",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
"351","PH060608000",287.239285714286,1.65972222222222,1.05851063829787,51.2559064897042,1.07521135694684,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.44,136.53,30.99,47.92,6.85,5.42,1,16189,10501,80,2,2,2,2,2,2,2,10,3.50675008231808,23.9405770878964,NA,60608000,718,"Hamtic",600608000,60608000,"3rd",52685,"Western Visayas","Visayas",5.12559064897042,5.12559064897042,5.12559064897042,5.12559064897042,28.7239285714286,28.7239285714286,28.7239285714286,28.7239285714286
