"","rain_total","wind_max","track_min_dist","ls_risk_pct","ss_risk_pct","blue_ss_frac","blue_ls_frac","red_ls_frac","orange_ls_frac","yellow_ss_frac","red_ss_frac","orange_ss_frac","yellow_ls_frac","slope_mean","elev_mean","ruggedness_sd","ruggedness_mean","slope_sd","has_coast","coast_length","roof_strong_wall_strong","roof_strong_wall_light","roof_strong_wall_salv","roof_light_wall_strong","roof_light_wall_light","roof_light_wall_salv","roof_salv_wall_strong","roof_salv_wall_light","roof_salv_wall_salv","damage_perc","region","island_groups","damage_binary","wind_blue_ss","wind_yellow_ss","wind_orange_ss","wind_red_ss","rain_blue_ss","rain_yellow_ss","rain_orange_ss","rain_red_ss"
"58",172.9625,74.1818685479809,13.2371974202799,0.26,0.08,0.08,0.26,0.04,0,0.23,0.08,0,0,4.8,195.74,32.08,23.49,6.38,1,1588,52.1670744494932,10.0314575323314,0.0611674239776302,2.77001048584411,33.2576022369801,0.183502271932891,0.0524292205522544,0.200978678783642,0.253407899335897,60.1450541768612,"Bicol Region","Luzon",1,5.93454948383847,17.0618297660356,0,5.93454948383847,19.287285822475,0,0,2.96727474191924
"59",133.45,62.0071993759154,17.6218593929648,0,0,0,0,0,0,0,0,0,0,15.16,306.18,52.11,77.38,10.52,1,14586,47.2645596021178,37.2693726937269,1.25140381838601,0.481309160917696,10.5406706240975,0.529440077009466,0.032087277394513,0.288785496550618,1.92523664367078,42.836515321675,"Western Visayas","Visayas",1,0,0,0,0,0,0,0,0
"60",150.24,66.6704170170229,3.45251041066399,0,0,0,0,0,0,0,0,0,0,12.47,251.14,42.56,62.2,8.7,1,19498,56.3759653418723,20.8137125635713,0.0376718779431154,1.29967978903748,21.3034469768318,0.0188359389715577,0,0.0565078169146732,0.0188359389715577,15.8786965530232,"MIMAROPA Region","Luzon",1,0,0,0,0,0,0,0,0
"61",166.13,58.928480506429,29.6850670970856,0,0,0,0,0,0,0,0,0,0,5.15,190.64,23.57,27.97,5.02,1,471,65.8809185124975,5.55442660705819,0.0812842918106076,9.33414617625144,18.7292555713608,0.155794892636998,0.0203210729526519,0.10160536476326,0.0812842918106076,44.2051073630021,"Bicol Region","Luzon",1,0,0,0,0,0,0,0,0
"62",215.465,57.6878556003365,3.44626409466902,0.1,0,0,0.1,0.1,0,0,0,0,0,6.81,139.04,25.62,34.54,5.57,0,0,53.331262618419,40.3789408293213,0.0931821711445876,0.186364342289175,5.32691411709893,0.0155303618574312,0,0.0931821711445876,0.0310607237148625,18.6674949526324,"Cagayan Valley","Luzon",1,0,0,0,0,5.76878556003365,0,0,5.76878556003365
"63",170.05,44.2116934315091,2.11553424766744,0,0,0,0,0,0,0,0,0,0,5.32,97.31,20.24,29.96,4.3,1,10756,27.3446019629226,35.9596510359869,0.408942202835333,0.981461286804798,34.5692475463468,0.0817884405670665,0,0.0817884405670665,0.163576881134133,20.3925845147219,"Eastern Visayas","Visayas",1,0,0,0,0,0,0,0,0
"64",191.1125,86.5656540053446,28.867227045947,0,0,0,0,0,0,0,0,0,0,2.48,22.41,15.7,13.08,3.41,1,17420,31.3032089063523,63.7197118533071,3.27439423706614,0,0.91683038637852,0.45841519318926,0,0.0654878847413228,0.130975769482646,11.9842829076621,"Eastern Visayas","Visayas",1,0,0,0,0,0,0,0,0
"65",202.28,46.6959033138486,48.6418873669814,3.1,3.37,3.37,3.1,0.27,0.02,2.8,3.37,0,0,6.48,81.54,27.33,34.03,5.87,1,168360,38.6994541933212,21.3451493632255,0.0762955572510123,2.15388227008627,36.9681319326252,0.064557779212395,0,0.0939022243089383,0.0234755560772345,13.1287047361934,"Bicol Region","Luzon",1,157.36519416767,130.748529278776,0,157.36519416767,144.757300272931,0,0.933918066276972,12.6078938947391
"66",267.266666666667,56.9244331331249,18.450698447702,2.19,0.83,0.83,2.19,0,0,2.19,0.83,0,0,5.07,53.9,19.02,26.82,4.19,1,35931,35.1992097464603,9.54889693776753,0.016463615409944,6.02568324003951,47.9914389199868,0.625617385577873,0.016463615409944,0.181099769509384,0.230490615739216,51.0372077708265,"Eastern Visayas","Visayas",1,47.2472795004937,124.664508561544,0,47.2472795004937,124.664508561544,0,0,0
"67",251.514285714286,60.7547763108571,4.83250450051097,0.07,0.07,0.07,0.07,0.07,0,0,0,0,0.07,6.83,117.17,28.93,36.58,6.16,1,8553,62.9887342611001,21.9240114866357,0.110448420587586,1.18179810028717,13.1212723658052,0.0220896841175171,0,0.242986525292688,0.0662690523525513,22.1117738016346,"MIMAROPA Region","Luzon",1,4.25283434176,0,0,0,4.25283434176,4.25283434176,0,4.25283434176
"68",131.0875,79.5483565369528,7.10270202385128,0,0,0,0,0,0,0,0,0,0,15.52,265.28,43.66,77.56,9.34,1,20275,56.2139091137334,31.4335927692694,0.527240773286467,0.97916143610344,10.0928948029124,0,0.0251067034898317,0.0251067034898317,0.401707255837308,22.2194325885011,"Western Visayas","Visayas",1,0,0,0,0,0,0,0,0
"69",333.39,48.194644026168,60.1266501471015,2.3,7.47,7.47,2.3,0,0,2.3,7.47,0,0,6.92,127.24,21.64,34.56,4.87,1,14983,37.1808701905789,32.9737504494786,0.179791441927364,2.58899676375405,26.1057173678533,0.143833153541891,0.0359582883854728,0.107874865156419,0.0359582883854728,14.4192736425746,"Eastern Visayas","Visayas",1,360.013990875475,110.847681260186,0,360.013990875475,110.847681260186,0,0,0
"70",170.5125,65.2923026227199,19.9308255370133,0,0,0,0,0,0,0,0,0,0,5.03,127.6,23.1,25.89,5.04,1,1379,59.7701781394326,11.7000219925225,0.0769738288981746,4.00263910270508,23.6089729491973,0.0989663514405102,0.0219925225423356,0.115460743347262,0.0989663514405102,26.2260831317352,"Bicol Region","Luzon",1,0,0,0,0,0,0,0,0
"71",311.378571428572,51.380021762671,36.7523757005452,0,0,0,0,0,0,0,0,0,0,8.96,103.81,25.03,48.87,5.47,0,0,14.8990825688073,29.0275229357798,0,0.880733944954128,54.3119266055046,0.18348623853211,0,0.073394495412844,0.293577981651376,26.7155963302752,"Eastern Visayas","Visayas",1,0,0,0,0,0,0,0,0
"72",221.63,70.6920658479614,16.0794423278297,0,0,0,0,0,0,0,0,0,0,4.85,123.25,32.63,26.14,6.54,1,6592,44.5932637384282,45.3417372464054,2.87571400433327,0.649990151664369,4.64841441796336,0.512113452826472,0.11818002757534,0.433326767776246,0.413630096513689,73.6852471932243,"Eastern Visayas","Visayas",1,0,0,0,0,0,0,0,0
"73",129.983333333333,79.2784912993411,10.6931224149513,0,0,0,0,0,0,0,0,0,0,7.9,137.11,25.01,39.17,5.66,0,0,38.4445426425099,57.0039770216527,1.85594343791427,0.0441891294741493,1.45824127264693,0.0220945647370746,0.0441891294741493,0.176756517896597,0.220945647370747,50.0220945647371,"Eastern Visayas","Visayas",1,0,0,0,0,0,0,0,0
"74",204.171428571429,68.9907897356452,7.74680769325738,0,0,0,0,0,0,0,0,0,0,4.89,84.49,23.12,25.72,5.08,0,0,38.1143065161995,56.9621405169276,0.227520931925737,0.136512559155442,3.92246086639971,0.0637058609392064,0,0.0819075354932653,0.0819075354932653,49.1536221332363,"Western Visayas","Visayas",1,0,0,0,0,0,0,0,0
