"","Mun_Code","rain_total","rain_max6h","rain_max24h","wind_max","track_min_dist","ls_risk_pct","ss_risk_pct","blue_ss_frac","blue_ls_frac","red_ls_frac","orange_ls_frac","yellow_ss_frac","red_ss_frac","orange_ss_frac","yellow_ls_frac","slope_mean","elev_mean","ruggedness_sd","ruggedness_mean","slope_sd","poverty_pct","has_coast","coast_length","housing_units","roof_strong_wall_strong","roof_strong_wall_light","roof_strong_wall_salv","roof_light_wall_strong","roof_light_wall_light","roof_light_wall_salv","roof_salv_wall_strong","roof_salv_wall_light","roof_salv_wall_salv","vulnerable_groups","pantawid_benef","damage_perc","Mun_Code_2","Unnamed..0","Municipality","X10.Digit.Code","Correspondence.Code","Income.Class","Population.2020.Census.","region","island_groups","wind_blue_ss","wind_yellow_ss","wind_orange_ss","wind_red_ss","rain_blue_ls","rain_yellow_ls","rain_orange_ls","rain_red_ls"
"1210","PH097224000",287.239285714286,4.45454545454545,2.25691489361702,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,0,0,14.04,384.57,35.69,70.3,8.01,9.63,1,41327,5172,14.0951276102088,14.8491879350348,0,2.12683681361176,68.9288476411446,0,0,0,0,4.28103417743935,39.1724671307038,NA,97224000,1084,"Baliguian",907224000,97224000,"3rd",23771,"Zamboanga Peninsula","Mindanao",0,0,0,0,0,0,0,0
"1211","PH153603000",287.239285714286,8.29166666666667,3.72659574468085,51.2559064897042,1.07521135694684,0.12,0,0,0,0,0,0,0,0,0,9.39,975.47,29.7,47.19,6.22,13.1,1,10678,3960,54.5707070707071,43.510101010101,0,0.176767676767677,0.429292929292929,0,0,0,0,4.41398217957505,89.469696969697,0.126262626262626,153603000,1382,"Balindong",1903603000,153603000,"4th*",32573,"ARMM","Mindanao",0,0,0,0,0,0,0,0
"1212","PH104302000",287.239285714286,9.06547619047619,4.30425531914894,51.2559064897042,1.07521135694684,1.95,8.34,0,0,0,0,0,0,0,0,14.12,438.6,69.85,72.99,12.82,7.17,1,14378,14514,46.8650957696018,36.929860824032,0.0826787928896238,0.434063662670525,14.8408433236875,0.0551191952597492,0,0.0826787928896238,0.0482292958522805,6.66577193217913,31.9415736530247,NA,104302000,1192,"Balingasag",1004302000,104302000,"2nd",74385,"Northern Mindanao","Mindanao",0,0,0,0,0,0,0,0
"1213","PH103502000",287.239285714286,5.98541666666667,2.76595744680851,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,0,0,4.2,378.6,19.47,21.17,4.36,7.96,1,5389,6946,38.5689605528362,59.4010941549093,0,0.0863806507342355,1.68442268931759,0.0143967751223725,0.0143967751223725,0.0575871004894903,0.0431903253671177,4.50816162239008,62.4964008062194,NA,103502000,1156,"Baloi",1003502000,103502000,"3rd",68465,"Northern Mindanao","Mindanao",0,0,0,0,0,0,0,0
"1214","PH112502000",287.239285714286,7.33571428571429,3.85,51.2559064897042,1.07521135694684,3.97,6.24,0,0,0,0,0,0,0,0,14.18,371.7,55.13,72.48,11.33,4.92,1,37794,9251,40.3956329045509,27.4456815479408,0.0864771376067452,2.14030915576694,29.1968435844774,0.0972867798075883,0,0.0648578532050589,0.0432385688033726,3.38546100153221,21.3598529888661,NA,112502000,1232,"Banaybanay",1102502000,112502000,"2nd",44451,"Davao Region","Mindanao",0,0,0,0,0,0,0,0
"1215","PH126302000",287.239285714286,2.603125,1.41143617021277,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,0,0,3.29,202.72,25.56,17.51,5.19,5.43,0,0,20803,53.5211267605634,31.6637023506225,0.0432629909147719,0.427822910157189,13.8681920876797,0,0.0048069989905302,0.0144209969715906,0,2.15147221659979,20.7133586501947,NA,126302000,1274,"Banga",1206302000,126302000,"1st",89164,"SOCCSKSARGEN","Mindanao",0,0,0,0,0,0,0,0
"1216","PH124716000",287.239285714286,8.31979166666667,3.53909574468085,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,0,0,6.89,385.44,26.54,35.03,5.75,28.42,0,0,9625,24.5818181818182,67.0025974025974,0.0831168831168831,0.166233766233766,7.70909090909091,0.0207792207792207,0,0.0103896103896103,0.0207792207792207,2.23458570872542,27.8753246753247,NA,124716000,1271,"Banisilan",1204716000,124716000,"2nd",46995,"SOCCSKSARGEN","Mindanao",0,0,0,0,0,0,0,0
"1217","PH112401000",287.239285714286,5.99642857142857,3.31815476190476,51.2559064897042,1.07521135694684,0.06,0.03,0,0,0,0,0,0,0,0,9.53,753.59,49.94,47.93,9.81,4.02,0,0,14826,53.1970861999191,43.1943882368812,0.229326858222042,0.0472143531633616,2.42142182652098,0.0202347227842978,0,0.0809388911371914,0.0269796303790638,2.21542025148908,15.8033184945366,NA,112401000,1222,"Bansalan",1102401000,112401000,"1st",62737,"Davao Region","Mindanao",0,0,0,0,0,0,0,0
"1218","PH153818000",287.239285714286,7.83333333333333,3.60602836879433,51.2559064897042,1.07521135694684,0,0,0,0,0,0,0,0,0,0,5.8,356.51,23.04,28.83,4.99,12.78,0,0,4485,20.5574136008919,69.4091415830546,0,0.178372352285396,9.72129319955407,0,0,0.0222965440356744,0,4.84935341954406,73.0211817168339,NA,153818000,1449,"Barira",1908701000,153818000,"4th",36143,"ARMM","Mindanao",0,0,0,0,0,0,0,0
"1219","PH103503000",287.239285714286,4.42916666666667,2.0281914893617,51.2559064897042,1.07521135694684,3.38,4.23,0,0,0,0,0,0,0,0,4.09,66.85,20.24,20.78,4.49,8.19,1,7660,5528,47.3950795947902,30.0832127351664,0.108538350217077,1.89942112879884,20.1157742402315,0.217076700434153,0,0,0,5.6283185840708,31.6931982633864,NA,103503000,1157,"Baroy",1003503000,103503000,"4th",24683,"Northern Mindanao","Mindanao",0,0,0,0,0,0,0,0
